Month,Department,Revenue,Expenses,Profit,Investment,ROI
2022-01-31,Sales,171958,40795,131163,10860,1207.76
2022-01-31,Marketing,153694,101820,51874,16265,318.93
2022-01-31,Operations,137498,69131,68367,26023,262.72
2022-01-31,Finance,91090,92221,-1131,10769,-10.5
2022-01-31,IT,109735,87955,21780,12433,175.18
2022-02-28,Sales,55311,108104,-52793,29769,-177.34
2022-02-28,Marketing,180608,50658,129950,28942,449.0
2022-02-28,Operations,172537,43431,129106,12747,1012.83
2022-02-28,Finance,173855,84150,89705,10189,880.41
2022-02-28,IT,179981,109654,70327,45773,153.64
2022-03-31,Sales,169346,92435,76911,11267,682.62
2022-03-31,Marketing,81551,36394,45157,13556,333.11
2022-03-31,Operations,53890,66606,-12716,40740,-31.21
2022-03-31,Finance,137313,35627,101686,18792,541.11
2022-03-31,IT,118148,48483,69665,27159,256.51
2022-04-30,Sales,160510,105077,55433,45920,120.72
2022-04-30,Marketing,69457,91557,-22100,21653,-102.06
2022-04-30,Operations,128953,77995,50958,19692,258.78
2022-04-30,Finance,87065,117093,-30028,43763,-68.62
2022-04-30,IT,61534,119663,-58129,35851,-162.14
2022-05-31,Sales,51016,114789,-63773,34276,-186.06
2022-05-31,Marketing,73247,49300,23947,18529,129.24
2022-05-31,Operations,132798,34268,98530,31271,315.08
2022-05-31,Finance,62185,88704,-26519,31243,-84.88
2022-05-31,IT,189643,63044,126599,12568,1007.31
2022-06-30,Sales,170151,87592,82559,12027,686.45
2022-06-30,Marketing,183767,73190,110577,15258,724.71
2022-06-30,Operations,89504,58159,31345,23986,130.68
2022-06-30,Finance,111858,37666,74192,48660,152.47
2022-06-30,IT,184633,51854,132779,48952,271.24
2022-07-31,Sales,72662,33392,39270,40535,96.88
2022-07-31,Marketing,163569,77256,86313,33599,256.89
2022-07-31,Operations,177478,60222,117256,21837,536.96
2022-07-31,Finance,173684,109651,64033,20965,305.43
2022-07-31,IT,74538,95592,-21054,42482,-49.56
2022-08-31,Sales,163252,33110,130142,23773,547.44
2022-08-31,Marketing,148806,31910,116896,35446,329.79
2022-08-31,Operations,171626,25206,146420,31518,464.56
2022-08-31,Finance,172409,48419,123990,32403,382.65
2022-08-31,IT,199213,105356,93857,16374,573.21
2022-09-30,Sales,112623,106734,5889,19914,29.57
2022-09-30,Marketing,143426,47299,96127,12693,757.32
2022-09-30,Operations,145259,94163,51096,35939,142.17
2022-09-30,Finance,68047,51105,16942,20230,83.75
2022-09-30,IT,196779,46976,149803,33776,443.52
2022-10-31,Sales,178376,91842,86534,16776,515.82
2022-10-31,Marketing,142787,80016,62771,19474,322.33
2022-10-31,Operations,71959,30530,41429,39320,105.36
2022-10-31,Finance,169101,28748,140353,41968,334.43
2022-10-31,IT,63545,91199,-27654,44766,-61.77
2022-11-30,Sales,123530,118557,4973,40303,12.34
2022-11-30,Marketing,118840,79384,39456,49353,79.95
2022-11-30,Operations,102733,90318,12415,33938,36.58
2022-11-30,Finance,117172,110616,6556,37728,17.38
2022-11-30,IT,76736,119209,-42473,47505,-89.41
2022-12-31,Sales,162859,25854,137005,34548,396.56
2022-12-31,Marketing,57392,80680,-23288,31556,-73.8
2022-12-31,Operations,100859,51309,49550,31919,155.24
2022-12-31,Finance,120467,77662,42805,42970,99.62
2022-12-31,IT,159751,37688,122063,35342,345.38
2023-01-31,Sales,156308,77083,79225,10197,776.94
2023-01-31,Marketing,139045,59698,79347,25087,316.29
2023-01-31,Operations,72671,50184,22487,37848,59.41
2023-01-31,Finance,136202,76663,59539,25708,231.6
2023-01-31,IT,141906,74811,67095,12811,523.73
2023-02-28,Sales,106250,97082,9168,44754,20.49
2023-02-28,Marketing,192483,27911,164572,11734,1402.52
2023-02-28,Operations,189752,109896,79856,28343,281.75
2023-02-28,Finance,121295,113614,7681,45153,17.01
2023-02-28,IT,61111,62504,-1393,11802,-11.8
2023-03-31,Sales,58155,98656,-40501,49384,-82.01
2023-03-31,Marketing,162561,72254,90307,31918,282.93
2023-03-31,Operations,135981,85713,50268,40306,124.72
2023-03-31,Finance,197718,71843,125875,41065,306.53
2023-03-31,IT,157512,41371,116141,21835,531.9
2023-04-30,Sales,161472,27049,134423,41616,323.01
2023-04-30,Marketing,153727,45932,107795,39855,270.47
2023-04-30,Operations,57400,67642,-10242,25151,-40.72
2023-04-30,Finance,116690,29499,87191,16295,535.08
2023-04-30,IT,170885,84040,86845,22183,391.49
2023-05-31,Sales,193946,57711,136235,15539,876.73
2023-05-31,Marketing,176063,27557,148506,48360,307.08
2023-05-31,Operations,183272,93497,89775,31357,286.3
2023-05-31,Finance,169121,102505,66616,12869,517.65
2023-05-31,IT,100108,119179,-19071,34736,-54.9
2023-06-30,Sales,88467,48328,40139,35876,111.88
2023-06-30,Marketing,185059,83871,101188,32399,312.32
2023-06-30,Operations,178391,71214,107177,43986,243.66
2023-06-30,Finance,136416,95271,41145,14555,282.69
2023-06-30,IT,157450,65818,91632,29830,307.18
